"Label (Grouping)","Total:!!Male:!!18 years and over:!!Native","Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Total:!!Female:!!18 years and over:!!Native","Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"Hidalgo County, Texas","","","",""
"    Estimate","180,450","29,853","185,035","35,891"
"Hill County, Texas","","","",""
"    Estimate","12,327","695","12,963","331"
"Hockley County, Texas","","","",""
"    Estimate","7,353","358","7,721","254"
"Hood County, Texas","","","",""
"    Estimate","22,094","419","23,555","515"
"Hopkins County, Texas","","","",""
"    Estimate","12,026","463","13,225","413"
"Houston County, Texas","","","",""
"    Estimate","9,647","113","8,141","121"
"Howard County, Texas","","","",""
"    Estimate","12,870","378","11,350","325"
"Hudspeth County, Texas","","","",""
"    Estimate","962","74","959","243"
"Hunt County, Texas","","","",""
"    Estimate","32,511","1,055","34,525","1,269"
"Hutchinson County, Texas","","","",""
"    Estimate","7,578","155","7,189","291"
"Irion County, Texas","","","",""
"    Estimate","584","14","546","19"
"Jack County, Texas","","","",""
"    Estimate","3,759","114","2,760","73"
"Jackson County, Texas","","","",""
"    Estimate","4,895","134","5,139","126"
"Jasper County, Texas","","","",""
"    Estimate","12,693","261","13,312","146"
"Jeff Davis County, Texas","","","",""
"    Estimate","789","107","902","117"
"Jefferson County, Texas","","","",""
"    Estimate","83,106","5,102","80,895","4,725"
"Jim Hogg County, Texas","","","",""
"    Estimate","1,645","22","1,627","18"
"Jim Wells County, Texas","","","",""
"    Estimate","13,473","430","14,232","475"
"Johnson County, Texas","","","",""
"    Estimate","59,106","1,443","61,188","1,545"
"Jones County, Texas","","","",""
"    Estimate","10,180","84","5,559","79"
"Karnes County, Texas","","","",""
"    Estimate","6,721","130","3,993","154"
"Kaufman County, Texas","","","",""
"    Estimate","41,006","1,561","43,389","1,998"
"Kendall County, Texas","","","",""
"    Estimate","15,465","398","16,504","945"
"Kenedy County, Texas","","","",""
"    Estimate","90","23","82","42"
"Kent County, Texas","","","",""
"    Estimate","226","0","270","0"
"Kerr County, Texas","","","",""
"    Estimate","18,312","611","20,331","794"
"Kimble County, Texas","","","",""
"    Estimate","1,578","55","1,799","44"
"King County, Texas","","","",""
"    Estimate","122","2","84","0"
"Kinney County, Texas","","","",""
"    Estimate","1,666","52","1,202","100"
"Kleberg County, Texas","","","",""
"    Estimate","10,678","485","10,508","481"
"Knox County, Texas","","","",""
"    Estimate","1,157","54","1,262","58"
"Lamar County, Texas","","","",""
"    Estimate","16,885","331","19,169","379"
"Lamb County, Texas","","","",""
"    Estimate","4,106","195","4,173","122"
"Lampasas County, Texas","","","",""
"    Estimate","8,070","179","7,652","305"
"La Salle County, Texas","","","",""
"    Estimate","3,157","0","2,277","39"
"Lavaca County, Texas","","","",""
"    Estimate","6,972","94","7,528","118"
"Lee County, Texas","","","",""
"    Estimate","5,977","250","5,962","107"
"Leon County, Texas","","","",""
"    Estimate","6,044","137","6,398","117"
"Liberty County, Texas","","","",""
"    Estimate","26,385","1,321","29,346","877"
"Limestone County, Texas","","","",""
"    Estimate","8,066","248","7,807","327"
"Lipscomb County, Texas","","","",""
"    Estimate","891","27","1,076","39"
"Live Oak County, Texas","","","",""
"    Estimate","4,877","51","4,129","50"
"Llano County, Texas","","","",""
"    Estimate","8,301","185","9,110","132"
"Loving County, Texas","","","",""
"    Estimate","73","0","18","0"
"Lubbock County, Texas","","","",""
"    Estimate","105,204","3,292","111,352","3,473"
"Lynn County, Texas","","","",""
"    Estimate","2,109","32","1,997","36"
"McCulloch County, Texas","","","",""
"    Estimate","2,897","61","2,886","39"
"McLennan County, Texas","","","",""
"    Estimate","81,759","2,941","89,640","3,107"
"McMullen County, Texas","","","",""
"    Estimate","235","0","237","3"
"Madison County, Texas","","","",""
"    Estimate","5,602","179","4,052","117"
"Marion County, Texas","","","",""
"    Estimate","3,878","30","4,029","62"
"Martin County, Texas","","","",""
"    Estimate","1,723","164","1,697","72"
"Mason County, Texas","","","",""
"    Estimate","1,359","15","1,588","37"
"Matagorda County, Texas","","","",""
"    Estimate","11,859","681","12,133","591"
"Maverick County, Texas","","","",""
"    Estimate","12,307","3,253","11,217","3,862"
"Medina County, Texas","","","",""
"    Estimate","18,754","818","17,418","841"
"Menard County, Texas","","","",""
"    Estimate","853","15","728","28"
"Midland County, Texas","","","",""
"    Estimate","49,783","4,320","50,575","3,917"
"Milam County, Texas","","","",""
"    Estimate","8,516","252","9,014","255"
"Mills County, Texas","","","",""
"    Estimate","1,797","96","1,874","32"
"Mitchell County, Texas","","","",""
"    Estimate","3,853","87","2,410","119"
"Montague County, Texas","","","",""
"    Estimate","7,056","66","7,526","72"
"Montgomery County, Texas","","","",""
"    Estimate","176,333","13,905","185,074","15,173"
"Moore County, Texas","","","",""
"    Estimate","4,537","775","4,698","445"
"Morris County, Texas","","","",""
"    Estimate","4,299","70","4,781","57"
"Motley County, Texas","","","",""
"    Estimate","554","0","521","0"
"Nacogdoches County, Texas","","","",""
"    Estimate","21,326","707","23,794","778"
"Navarro County, Texas","","","",""
"    Estimate","14,558","1,050","15,991","874"
"Newton County, Texas","","","",""
"    Estimate","5,592","29","5,316","55"
"Nolan County, Texas","","","",""
"    Estimate","5,026","112","5,128","194"
"Nueces County, Texas","","","",""
"    Estimate","118,139","5,841","125,023","5,996"
"Ochiltree County, Texas","","","",""
"    Estimate","2,367","262","2,358","295"
"Oldham County, Texas","","","",""
"    Estimate","643","13","637","25"
"Orange County, Texas","","","",""
"    Estimate","29,323","507","31,127","530"
"Palo Pinto County, Texas","","","",""
"    Estimate","9,816","417","10,505","334"
"Panola County, Texas","","","",""
"    Estimate","8,255","56","8,826","100"
"Parker County, Texas","","","",""
"    Estimate","47,814","1,210","49,711","1,745"
"Parmer County, Texas","","","",""
"    Estimate","2,388","340","2,506","224"
"Pecos County, Texas","","","",""
"    Estimate","5,906","427","3,879","441"
"Polk County, Texas","","","",""
"    Estimate","20,020","668","17,028","405"
"Potter County, Texas","","","",""
"    Estimate","35,299","2,745","33,926","2,426"
"Presidio County, Texas","","","",""
"    Estimate","1,365","242","1,080","338"
"Rains County, Texas","","","",""
"    Estimate","4,538","50","4,754","77"
"Randall County, Texas","","","",""
"    Estimate","46,840","1,366","49,896","1,696"
"Reagan County, Texas","","","",""
"    Estimate","1,094","93","1,003","67"
"Real County, Texas","","","",""
"    Estimate","1,141","4","1,424","12"
"Red River County, Texas","","","",""
"    Estimate","4,456","0","5,045","132"
"Reeves County, Texas","","","",""
"    Estimate","5,532","459","3,683","442"
"Refugio County, Texas","","","",""
"    Estimate","2,553","41","2,746","19"
"Roberts County, Texas","","","",""
"    Estimate","312","0","270","18"
"Robertson County, Texas","","","",""
"    Estimate","5,889","172","6,412","95"
"Rockwall County, Texas","","","",""
"    Estimate","32,203","1,940","33,766","2,244"
"Runnels County, Texas","","","",""
"    Estimate","3,650","113","3,758","85"
"Rusk County, Texas","","","",""
"    Estimate","20,596","527","17,739","378"
"Sabine County, Texas","","","",""
"    Estimate","4,051","25","4,338","101"
"San Augustine County, Texas","","","",""
"    Estimate","3,080","31","3,258","9"
"San Jacinto County, Texas","","","",""
"    Estimate","10,422","320","10,522","146"
"San Patricio County, Texas","","","",""
"    Estimate","22,631","659","23,106","706"
"San Saba County, Texas","","","",""
"    Estimate","2,226","10","2,198","40"
"Schleicher County, Texas","","","",""
"    Estimate","861","102","914","103"
"Scurry County, Texas","","","",""
"    Estimate","6,377","393","5,257","259"
"Shackelford County, Texas","","","",""
"    Estimate","1,126","24","1,291","20"
"Shelby County, Texas","","","",""
"    Estimate","8,083","136","8,660","228"
"Sherman County, Texas","","","",""
"    Estimate","942","87","884","72"
"Smith County, Texas","","","",""
"    Estimate","71,819","4,589","81,979","3,981"
"Somervell County, Texas","","","",""
"    Estimate","3,318","99","3,301","72"
"Starr County, Texas","","","",""
"    Estimate","13,402","2,107","12,304","3,411"
"Stephens County, Texas","","","",""
"    Estimate","3,660","115","3,212","60"
"Sterling County, Texas","","","",""
"    Estimate","350","13","393","0"
"Stonewall County, Texas","","","",""
"    Estimate","463","11","546","0"
"Sutton County, Texas","","","",""
"    Estimate","1,222","44","1,066","114"
"Swisher County, Texas","","","",""
"    Estimate","2,470","145","2,276","58"
"Tarrant County, Texas","","","",""
"    Estimate","584,053","64,769","637,344","68,290"
"Taylor County, Texas","","","",""
"    Estimate","45,485","1,684","49,620","1,963"
"Terrell County, Texas","","","",""
"    Estimate","401","7","375","0"
"Terry County, Texas","","","",""
"    Estimate","4,085","145","3,606","224"
"Throckmorton County, Texas","","","",""
"    Estimate","600","18","575","2"
"Titus County, Texas","","","",""
"    Estimate","7,931","1,036","8,882","815"
"Tom Green County, Texas","","","",""
"    Estimate","41,474","1,571","42,227","1,525"
"Travis County, Texas","","","",""
"    Estimate","389,255","39,133","389,978","40,251"
"Trinity County, Texas","","","",""
"    Estimate","5,298","70","5,886","65"
"Tyler County, Texas","","","",""
"    Estimate","9,144","83","7,603","119"
"Upshur County, Texas","","","",""
"    Estimate","14,544","332","15,689","160"
"Upton County, Texas","","","",""
"    Estimate","1,130","88","1,123","34"
"Uvalde County, Texas","","","",""
"    Estimate","8,436","297","8,724","570"
"Val Verde County, Texas","","","",""
"    Estimate","12,751","2,105","11,099","3,403"
"Van Zandt County, Texas","","","",""
"    Estimate","19,712","438","21,481","392"
"Victoria County, Texas","","","",""
"    Estimate","30,395","1,244","32,064","1,532"
"Walker County, Texas","","","",""
"    Estimate","33,567","628","22,712","514"
"Waller County, Texas","","","",""
"    Estimate","16,773","1,121","17,495","1,281"
"Ward County, Texas","","","",""
"    Estimate","3,836","171","3,769","197"
"Washington County, Texas","","","",""
"    Estimate","12,207","341","13,332","368"
"Webb County, Texas","","","",""
"    Estimate","57,970","9,977","60,181","10,441"
"Wharton County, Texas","","","",""
"    Estimate","13,037","628","14,197","479"
"Wheeler County, Texas","","","",""
"    Estimate","1,707","41","1,785","36"
"Wichita County, Texas","","","",""
"    Estimate","49,134","1,470","45,786","1,620"
"Wilbarger County, Texas","","","",""
"    Estimate","4,430","94","4,911","49"
"Willacy County, Texas","","","",""
"    Estimate","7,972","544","5,644","702"
"Williamson County, Texas","","","",""
"    Estimate","173,104","14,662","182,090","17,880"
"Wilson County, Texas","","","",""
"    Estimate","18,165","360","18,033","433"
"Winkler County, Texas","","","",""
"    Estimate","2,237","216","2,131","282"
"Wise County, Texas","","","",""
"    Estimate","22,741","684","23,354","793"
"Wood County, Texas","","","",""
"    Estimate","16,914","267","17,635","301"
"Yoakum County, Texas","","","",""
"    Estimate","2,145","106","2,141","263"
"Young County, Texas","","","",""
"    Estimate","6,141","162","6,375","213"
"Zapata County, Texas","","","",""
"    Estimate","3,315","453","2,966","485"
"Zavala County, Texas","","","",""
"    Estimate","3,994","133","3,805","156"
"Beaver County, Utah","","","",""
"    Estimate","2,069","98","1,938","78"
"Box Elder County, Utah","","","",""
"    Estimate","18,190","417","17,789","521"
"Cache County, Utah","","","",""
"    Estimate","40,233","1,270","40,554","1,370"
"Carbon County, Utah","","","",""
"    Estimate","7,155","103","7,448","58"
"Daggett County, Utah","","","",""
"    Estimate","271","0","169","0"
"Davis County, Utah","","","",""
"    Estimate","111,075","4,181","109,736","5,834"
"Duchesne County, Utah","","","",""
"    Estimate","6,360","142","6,226","140"
"Emery County, Utah","","","",""
"    Estimate","3,448","35","3,469","29"
"Garfield County, Utah","","","",""
"    Estimate","1,946","1","1,737","21"
"Grand County, Utah","","","",""
"    Estimate","3,571","134","3,469","65"
"Iron County, Utah","","","",""
"    Estimate","17,962","384","17,971","609"
"Juab County, Utah","","","",""
"    Estimate","3,638","136","3,702","31"
"Kane County, Utah","","","",""
"    Estimate","2,967","13","2,911","53"
"Millard County, Utah","","","",""
"    Estimate","4,132","122","4,045","169"
"Morgan County, Utah","","","",""
"    Estimate","3,758","45","3,805","53"
"Piute County, Utah","","","",""
"    Estimate","749","1","712","0"
"Rich County, Utah","","","",""
"    Estimate","777","4","748","0"
"Salt Lake County, Utah","","","",""
"    Estimate","349,998","27,043","349,561","29,005"
"San Juan County, Utah","","","",""
"    Estimate","5,175","17","5,364","12"
"Sanpete County, Utah","","","",""
"    Estimate","11,292","211","9,917","293"
"Sevier County, Utah","","","",""
"    Estimate","7,552","76","7,238","95"
"Summit County, Utah","","","",""
"    Estimate","14,257","696","13,559","840"
"Tooele County, Utah","","","",""
"    Estimate","22,395","445","21,856","919"
"Uintah County, Utah","","","",""
"    Estimate","11,593","205","11,532","240"
"Utah County, Utah","","","",""
"    Estimate","187,235","7,940","185,290","9,787"
"Wasatch County, Utah","","","",""
"    Estimate","10,344","587","10,045","542"
"Washington County, Utah","","","",""
"    Estimate","57,802","1,751","60,798","2,071"
"Wayne County, Utah","","","",""
"    Estimate","909","11","929","29"
"Weber County, Utah","","","",""
"    Estimate","83,921","3,201","83,789","3,679"
"Addison County, Vermont","","","",""
"    Estimate","14,317","313","14,762","398"
"Bennington County, Vermont","","","",""
"    Estimate","13,300","266","14,671","313"
"Caledonia County, Vermont","","","",""
"    Estimate","11,825","161","11,786","206"
"Chittenden County, Vermont","","","",""
"    Estimate","58,953","3,203","62,605","3,970"
"Essex County, Vermont","","","",""
"    Estimate","2,462","55","2,482","72"
"Franklin County, Vermont","","","",""
"    Estimate","18,419","319","18,670","564"
"Grand Isle County, Vermont","","","",""
"    Estimate","2,834","94","2,731","144"
"Lamoille County, Vermont","","","",""
"    Estimate","9,589","183","9,795","127"
"Orange County, Vermont","","","",""
"    Estimate","11,469","102","11,576","259"
"Orleans County, Vermont","","","",""
"    Estimate","10,388","199","10,247","341"
"Rutland County, Vermont","","","",""
"    Estimate","23,003","441","23,814","430"
"Washington County, Vermont","","","",""
"    Estimate","22,773","320","23,028","797"
"Windham County, Vermont","","","",""
"    Estimate","16,405","238","17,265","465"
"Windsor County, Vermont","","","",""
"    Estimate","21,042","415","22,180","605"
"Accomack County, Virginia","","","",""
"    Estimate","10,976","329","12,301","438"
"Albemarle County, Virginia","","","",""
"    Estimate","35,803","2,139","40,675","2,865"
"Alleghany County, Virginia","","","",""
"    Estimate","5,714","64","6,275","27"
"Amelia County, Virginia","","","",""
"    Estimate","4,907","22","5,152","26"
"Amherst County, Virginia","","","",""
"    Estimate","11,894","161","13,148","182"
"Appomattox County, Virginia","","","",""
"    Estimate","5,869","29","6,341","39"
"Arlington County, Virginia","","","",""
"    Estimate","73,133","11,997","70,292","14,028"
"Augusta County, Virginia","","","",""
"    Estimate","30,279","386","29,368","376"
"Bath County, Virginia","","","",""
"    Estimate","1,752","12","1,779","0"
"Bedford County, Virginia","","","",""
"    Estimate","30,008","495","31,221","702"
"Bland County, Virginia","","","",""
"    Estimate","2,946","0","2,346","8"
"Botetourt County, Virginia","","","",""
"    Estimate","12,834","263","13,488","168"
"Brunswick County, Virginia","","","",""
"    Estimate","7,302","22","6,169","3"
"Buchanan County, Virginia","","","",""
"    Estimate","8,687","46","8,821","71"
"Buckingham County, Virginia","","","",""
"    Estimate","7,657","63","6,037","48"
"Campbell County, Virginia","","","",""
"    Estimate","20,530","220","22,203","311"
"Caroline County, Virginia","","","",""
"    Estimate","11,165","162","11,337","299"
"Carroll County, Virginia","","","",""
"    Estimate","11,854","114","12,077","109"
"Charles City County, Virginia","","","",""
"    Estimate","2,803","16","2,957","43"
"Charlotte County, Virginia","","","",""
"    Estimate","4,490","9","4,775","13"
"Chesterfield County, Virginia","","","",""
"    Estimate","111,884","6,324","126,038","7,871"
"Clarke County, Virginia","","","",""
"    Estimate","5,429","185","5,587","221"
"Craig County, Virginia","","","",""
"    Estimate","1,994","0","2,192","16"
"Culpeper County, Virginia","","","",""
"    Estimate","17,436","923","17,534","1,226"
"Cumberland County, Virginia","","","",""
"    Estimate","3,740","36","4,109","35"
"Dickenson County, Virginia","","","",""
"    Estimate","5,912","0","5,787","8"
"Dinwiddie County, Virginia","","","",""
"    Estimate","10,577","176","11,253","185"
"Essex County, Virginia","","","",""
"    Estimate","3,960","32","4,811","78"
"Fairfax County, Virginia","","","",""
"    Estimate","275,616","92,544","271,443","106,145"
"Fauquier County, Virginia","","","",""
"    Estimate","24,290","827","25,209","1,063"
"Floyd County, Virginia","","","",""
"    Estimate","6,019","111","6,237","145"
"Fluvanna County, Virginia","","","",""
"    Estimate","9,266","160","11,439","348"
"Franklin County, Virginia","","","",""
"    Estimate","21,762","149","22,655","443"
"Frederick County, Virginia","","","",""
"    Estimate","30,852","846","31,680","1,234"
"Giles County, Virginia","","","",""
"    Estimate","6,360","52","6,749","16"
"Gloucester County, Virginia","","","",""
"    Estimate","14,324","210","15,067","193"
"Goochland County, Virginia","","","",""
"    Estimate","9,047","214","9,340","478"
"Grayson County, Virginia","","","",""
"    Estimate","6,523","144","6,117","64"
"Greene County, Virginia","","","",""
"    Estimate","6,723","185","7,582","210"
"Greensville County, Virginia","","","",""
"    Estimate","6,205","63","3,245","49"
"Halifax County, Virginia","","","",""
"    Estimate","12,562","47","14,161","184"
"Hanover County, Virginia","","","",""
"    Estimate","38,092","1,077","41,090","1,192"
"Henrico County, Virginia","","","",""
"    Estimate","98,601","9,190","117,343","9,527"
"Henry County, Virginia","","","",""
"    Estimate","18,905","385","20,869","553"
"Highland County, Virginia","","","",""
"    Estimate","837","0","1,011","45"
"Isle of Wight County, Virginia","","","",""
"    Estimate","13,752","271","14,332","381"
"James City County, Virginia","","","",""
"    Estimate","27,127","892","29,041","2,049"
"King and Queen County, Virginia","","","",""
"    Estimate","2,848","27","2,797","10"
"King George County, Virginia","","","",""
"    Estimate","9,728","222","9,587","254"
"King William County, Virginia","","","",""
"    Estimate","6,073","189","6,604","176"
"Lancaster County, Virginia","","","",""
"    Estimate","3,950","84","4,582","189"
"Lee County, Virginia","","","",""
"    Estimate","9,858","50","9,190","51"
"Loudoun County, Virginia","","","",""
"    Estimate","97,845","26,940","97,406","31,684"
"Louisa County, Virginia","","","",""
"    Estimate","13,582","315","14,296","446"
"Lunenburg County, Virginia","","","",""
"    Estimate","5,069","45","4,491","88"
"Madison County, Virginia","","","",""
"    Estimate","4,958","75","5,222","104"
"Mathews County, Virginia","","","",""
"    Estimate","3,469","87","3,828","53"
"Mecklenburg County, Virginia","","","",""
"    Estimate","11,495","233","12,581","157"
"Middlesex County, Virginia","","","",""
"    Estimate","4,230","76","4,495","84"
"Montgomery County, Virginia","","","",""
"    Estimate","38,499","1,512","36,830","1,325"
"Nelson County, Virginia","","","",""
"    Estimate","5,672","101","6,028","151"
"New Kent County, Virginia","","","",""
"    Estimate","8,538","250","8,511","90"
"Northampton County, Virginia","","","",""
"    Estimate","4,064","228","4,784","154"
"Northumberland County, Virginia","","","",""
"    Estimate","4,983","8","5,290","41"
"Nottoway County, Virginia","","","",""
"    Estimate","6,440","231","5,349","35"
"Orange County, Virginia","","","",""
"    Estimate","13,300","418","13,996","349"
"Page County, Virginia","","","",""
"    Estimate","9,191","100","9,398","248"
"Patrick County, Virginia","","","",""
"    Estimate","7,105","28","7,236","102"
"Pittsylvania County, Virginia","","","",""
"    Estimate","23,705","170","24,753","176"
"Powhatan County, Virginia","","","",""
"    Estimate","12,103","77","11,221","252"
"Prince Edward County, Virginia","","","",""
"    Estimate","9,212","46","9,320","160"
"Prince George County, Virginia","","","",""
"    Estimate","15,739","392","12,761","630"
"Prince William County, Virginia","","","",""
"    Estimate","115,220","30,116","114,810","32,032"
"Pulaski County, Virginia","","","",""
"    Estimate","13,776","211","13,754","165"
"Rappahannock County, Virginia","","","",""
"    Estimate","2,779","72","2,977","63"
"Richmond County, Virginia","","","",""
"    Estimate","4,070","79","3,020","37"
"Roanoke County, Virginia","","","",""
"    Estimate","33,195","1,550","36,963","1,497"
"Rockbridge County, Virginia","","","",""
"    Estimate","8,934","172","9,026","223"
"Rockingham County, Virginia","","","",""
"    Estimate","28,284","1,107","30,712","1,048"
"Russell County, Virginia","","","",""
"    Estimate","10,626","87","10,915","42"
"Scott County, Virginia","","","",""
"    Estimate","8,882","0","8,761","16"
"Shenandoah County, Virginia","","","",""
"    Estimate","15,779","250","16,661","377"
"Smyth County, Virginia","","","",""
"    Estimate","11,783","14","12,376","60"
"Southampton County, Virginia","","","",""
"    Estimate","7,524","18","6,607","157"
"Spotsylvania County, Virginia","","","",""
"    Estimate","44,527","2,950","47,324","3,039"
"Stafford County, Virginia","","","",""
"    Estimate","48,813","4,062","47,076","4,406"
"Surry County, Virginia","","","",""
"    Estimate","2,472","19","2,678","41"
"Sussex County, Virginia","","","",""
"    Estimate","5,696","72","3,572","48"
"Tazewell County, Virginia","","","",""
"    Estimate","16,132","80","16,733","111"
"Warren County, Virginia","","","",""
"    Estimate","14,563","490","14,776","431"
"Washington County, Virginia","","","",""
"    Estimate","21,397","119","22,238","145"
"Westmoreland County, Virginia","","","",""
"    Estimate","6,622","168","7,055","247"
"Wise County, Virginia","","","",""
"    Estimate","15,940","85","14,312","116"
"Wythe County, Virginia","","","",""
"    Estimate","11,042","54","11,686","0"
"York County, Virginia","","","",""
"    Estimate","23,302","1,302","23,811","2,036"
"Alexandria city, Virginia","","","",""
"    Estimate","43,279","7,817","47,913","9,325"
"Bristol city, Virginia","","","",""
"    Estimate","6,330","19","7,102","14"
"Buena Vista city, Virginia","","","",""
"    Estimate","2,304","14","2,766","3"
"Charlottesville city, Virginia","","","",""
"    Estimate","16,499","1,013","18,574","1,044"
"Chesapeake city, Virginia","","","",""
"    Estimate","82,635","3,574","87,598","4,867"
"Colonial Heights city, Virginia","","","",""
"    Estimate","5,515","334","6,738","410"
"Covington city, Virginia","","","",""
"    Estimate","2,046","55","2,191","81"
"Danville city, Virginia","","","",""
"    Estimate","13,411","148","17,062","271"
"Emporia city, Virginia","","","",""
"    Estimate","1,503","21","2,112","33"
"Fairfax city, Virginia","","","",""
"    Estimate","5,913","1,687","6,141","1,908"
"Falls Church city, Virginia","","","",""
"    Estimate","4,272","517","4,331","955"
"Franklin city, Virginia","","","",""
"    Estimate","2,450","49","3,310","109"
"Fredericksburg city, Virginia","","","",""
"    Estimate","9,035","642","11,397","507"
"Galax city, Virginia","","","",""
"    Estimate","1,854","35","2,429","31"
"Hampton city, Virginia","","","",""
"    Estimate","47,592","1,723","52,899","2,318"
"Harrisonburg city, Virginia","","","",""
"    Estimate","16,928","1,469","20,079","1,213"
"Hopewell city, Virginia","","","",""
"    Estimate","7,077","228","8,772","284"
"Lexington city, Virginia","","","",""
"    Estimate","3,842","34","2,321","262"
"Lynchburg city, Virginia","","","",""
"    Estimate","28,281","630","33,540","898"
"Manassas city, Virginia","","","",""
"    Estimate","9,745","2,262","10,303","1,990"
"Manassas Park city, Virginia","","","",""
"    Estimate","3,330","1,704","3,384","1,742"
"Martinsville city, Virginia","","","",""
"    Estimate","3,966","92","5,078","102"
"Newport News city, Virginia","","","",""
"    Estimate","60,076","2,974","65,317","3,967"
"Norfolk city, Virginia","","","",""
"    Estimate","94,009","4,742","85,390","4,456"
"Norton city, Virginia","","","",""
"    Estimate","1,464","0","1,871","0"
"Petersburg city, Virginia","","","",""
"    Estimate","10,266","218","13,169","169"
"Poquoson city, Virginia","","","",""
"    Estimate","4,532","97","4,509","213"
"Portsmouth city, Virginia","","","",""
"    Estimate","33,112","898","36,787","835"
"Radford city, Virginia","","","",""
"    Estimate","7,075","160","8,287","223"
"Richmond city, Virginia","","","",""
"    Estimate","80,901","2,146","93,309","3,038"
"Roanoke city, Virginia","","","",""
"    Estimate","33,193","784","38,052","1,187"
"Salem city, Virginia","","","",""
"    Estimate","9,180","236","10,321","215"
"Staunton city, Virginia","","","",""
"    Estimate","8,408","168","10,653","279"
"Suffolk city, Virginia","","","",""
"    Estimate","31,521","1,019","34,652","889"
"Virginia Beach city, Virginia","","","",""
"    Estimate","151,310","12,026","158,313","14,794"
"Waynesboro city, Virginia","","","",""
"    Estimate","7,673","68","8,610","205"
"Williamsburg city, Virginia","","","",""
"    Estimate","5,547","227","6,741","207"
"Winchester city, Virginia","","","",""
"    Estimate","8,499","698","9,653","593"
"Adams County, Washington","","","",""
"    Estimate","4,117","551","4,049","483"
"Asotin County, Washington","","","",""
"    Estimate","8,433","115","8,921","115"
"Benton County, Washington","","","",""
"    Estimate","62,539","3,745","64,150","4,784"
"Chelan County, Washington","","","",""
"    Estimate","24,223","1,682","24,836","2,089"
"Clallam County, Washington","","","",""
"    Estimate","29,424","945","30,315","1,394"
"Clark County, Washington","","","",""
"    Estimate","157,366","12,801","160,891","16,026"
"Columbia County, Washington","","","",""
"    Estimate","1,541","24","1,571","47"
"Cowlitz County, Washington","","","",""
"    Estimate","39,409","984","40,261","1,099"
"Douglas County, Washington","","","",""
"    Estimate","12,152","1,183","12,871","838"
"Ferry County, Washington","","","",""
"    Estimate","3,145","13","3,147","52"
"Franklin County, Washington","","","",""
"    Estimate","23,711","2,540","20,757","3,220"
"Garfield County, Washington","","","",""
"    Estimate","924","0","795","4"
"Grant County, Washington","","","",""
"    Estimate","26,283","2,058","25,984","2,502"
"Grays Harbor County, Washington","","","",""
"    Estimate","28,340","796","27,283","550"
"Island County, Washington","","","",""
"    Estimate","31,868","1,824","30,991","2,224"
"Jefferson County, Washington","","","",""
"    Estimate","13,186","303","13,280","615"
"King County, Washington","","","",""
"    Estimate","644,960","112,063","639,732","128,190"
"Kitsap County, Washington","","","",""
"    Estimate","102,744","4,385","93,780","6,464"
"Kittitas County, Washington","","","",""
"    Estimate","18,291","476","18,687","562"
"Klickitat County, Washington","","","",""
"    Estimate","8,093","259","7,833","368"
"Lewis County, Washington","","","",""
"    Estimate","29,136","533","29,574","773"
"Lincoln County, Washington","","","",""
"    Estimate","4,135","28","4,134","72"
"Mason County, Washington","","","",""
"    Estimate","25,530","417","23,703","607"
"Okanogan County, Washington","","","",""
"    Estimate","14,124","493","14,387","404"
"Pacific County, Washington","","","",""
"    Estimate","8,487","288","8,870","268"
"Pend Oreille County, Washington","","","",""
"    Estimate","5,407","133","5,175","139"
"Pierce County, Washington","","","",""
"    Estimate","300,539","20,735","298,530","28,016"
"San Juan County, Washington","","","",""
"    Estimate","6,550","265","6,947","306"
"Skagit County, Washington","","","",""
"    Estimate","43,258","2,308","44,938","2,664"
"Skamania County, Washington","","","",""
"    Estimate","4,540","190","4,650","96"
"Snohomish County, Washington","","","",""
"    Estimate","251,128","33,209","247,920","37,634"
"Spokane County, Washington","","","",""
"    Estimate","184,616","6,430","189,722","8,334"
"Stevens County, Washington","","","",""
"    Estimate","16,948","311","17,368","540"
"Thurston County, Washington","","","",""
"    Estimate","99,233","5,236","102,158","8,495"
"Wahkiakum County, Washington","","","",""
"    Estimate","1,631","19","1,746","65"
"Walla Walla County, Washington","","","",""
"    Estimate","21,773","1,224","20,765","1,231"
"Whatcom County, Washington","","","",""
"    Estimate","79,100","4,586","80,433","6,240"
"Whitman County, Washington","","","",""
"    Estimate","18,659","690","18,644","693"
"Yakima County, Washington","","","",""
"    Estimate","64,887","6,557","68,197","7,618"
"Barbour County, West Virginia","","","",""
"    Estimate","6,355","0","6,842","48"
"Berkeley County, West Virginia","","","",""
"    Estimate","42,331","1,046","43,524","1,374"
"Boone County, West Virginia","","","",""
"    Estimate","8,504","29","8,661","0"
"Braxton County, West Virginia","","","",""
"    Estimate","5,593","0","5,642","1"
"Brooke County, West Virginia","","","",""
"    Estimate","8,813","71","9,160","57"
"Cabell County, West Virginia","","","",""
"    Estimate","35,241","365","38,298","271"
"Calhoun County, West Virginia","","","",""
"    Estimate","2,909","14","2,898","9"
"Clay County, West Virginia","","","",""
"    Estimate","3,312","4","3,359","0"
"Doddridge County, West Virginia","","","",""
"    Estimate","3,972","7","3,102","0"
"Fayette County, West Virginia","","","",""
"    Estimate","17,067","9","16,924","71"
